country,year,temperature,humidity,precipitation,wind_speed,wetbulb_temperature,WUE_FixedApproachDirect(L/KWh),WUE_FixedColdWaterDirect(L/KWh),WUE_Indirect(L/KWh),Leakages (%),Total energy - TWh,Total renewables - TWh,Total fossil fuels - TWh,Coal consumption - TWh,Gas consumption - TWh,Oil consumption - TWh,Nuclear consumption - TWh,Solar consumption - TWh,Hydro consumption - TWh,Wind consumption - TWh,Biofuels consumption - TWh,Low carbon - TWh,Other renewables (including geothermal and biomass) - TWh,Other - TWh,climate_region,Pct renewables,Pct fossil fuels,Pct Coal consumption,Pct Gas consumption,Pct Oil consumption,Pct Nuclear consumption,Pct Solar consumption,Pct Hydro consumption,Pct Wind consumption,Pct Biofuels consumption,Pct Low carbon,Pct Other renewables,Pct Other
Ghana,2023,27.11202487816363,73.88984597871408,0.23292319851327628,10.415866009710337,73.48902749210505,1.6911920344309201,1.4961068662141195,2.7716125686183326,0.39720000000000005,373241.36047056416,130275.91859103949,242965.44187952465,0.0,242965.44187952465,0.0,0.0,2219.642125392706,128056.2764649638,0.0,3.4148340390657e-07,130617.40199426313,3.4148340390657e-07,0.0,Desert,34.903934126377116,65.09606587362288,0.0,65.09606587362288,0.0,0.0,0.5946935041160207,34.309240622078114,0.0,9.14913083255416e-11,34.99542543451969,0.0,9.14913083255416e-11
Guinea,2022,23.771024342891277,74.20183691756273,0.5338966397849462,5.648239172640382,67.98212754599965,1.6640202820290553,1.384184310160601,5.322087227722773,0.3972,40238.12776032419,40238.12776032419,0.0,0.0,0.0,0.0,0.0,398.3973045576652,39839.73045576653,0.0,0.0,40238.12776032417,0.0,0.0,Savana,100.0,0.0,0.0,0.0,0.0,0.0,0.99009900990099,99.00990099009901,0.0,0.0,99.99999999999996,0.0,0.0
Guinea,2023,25.766288115772742,66.15946293896143,0.39908894169226833,6.754118063556067,68.605461834864,1.6668728001786937,1.3974544975769982,5.322087227722773,0.3972,40238.12776032419,40238.12776032419,0.0,0.0,0.0,0.0,0.0,398.3973045576652,39839.73045576653,0.0,0.0,40238.12776032417,0.0,0.0,Savana,100.0,0.0,0.0,0.0,0.0,0.0,0.99009900990099,99.00990099009901,0.0,0.0,99.99999999999996,0.0,0.0
Kenya,2022,20.027326911589007,69.54184886499404,0.13147371565113503,9.784156884707288,60.88786911139719,1.6165782193195912,1.2735357687366005,3.1775829867641403,0.258,110754.4507885421,110754.4507885421,0.0,0.0,0.0,0.0,0.0,7569.54878659564,60556.39029276512,42628.51158767016,5.776760916086143e-06,226488.8676410326,0.000115734416974,0.0,Savana,100.0,0.0,0.0,0.0,0.0,0.0,6.834532366602403,54.67625893281922,38.48920859086614,5.215827332407094e-09,204.49640265334023,0.0,1.0449640276305094e-07
Kenya,2023,20.616631364407322,68.02273612177846,0.1780652895118621,10.195239888686208,61.332617951861955,1.6187626866007585,1.282601780081219,3.1775829867641403,0.258,110754.4507885421,110754.4507885421,0.0,0.0,0.0,0.0,0.0,7569.548786595639,60556.390292765114,42628.51158767016,5.776760916086143e-06,226488.8676410326,0.000115734416974,0.0,Savana,100.0,0.0,0.0,0.0,0.0,0.0,6.834532366602402,54.676258932819216,38.48920859086614,5.215827332407094e-09,204.49640265334023,0.0,1.0449640276305094e-07
Lesotho,2022,16.74437037037037,48.01730361409797,0.14271126045400237,11.092428166069295,50.228562685081776,1.5075379785845404,1.2090848523265894,5.3374281,0.252,4979.966306970816,4979.966306970816,0.0,0.0,0.0,0.0,0.0,0.0,4979.966306970816,0.0,0.0,4979.966306970816,0.0,0.0,Steppe,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0
Lesotho,2023,14.066356153460488,49.898280756635096,0.10326790914618535,9.592527241743472,46.85306116114929,1.4586951339853904,1.227265482911217,5.3374281,0.252,4979.966306970816,4979.966306970816,0.0,0.0,0.0,0.0,0.0,0.0,4979.966306970816,0.0,0.0,4979.966306970816,0.0,0.0,Steppe,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0
Liberia,2022,24.646204237071174,80.35135688684075,0.41816028545826933,8.03038562467998,71.40280753711917,1.684191918058673,1.4448263021821173,5.3374281,0.3972,9049.31020352411,9049.31020352411,0.0,0.0,0.0,0.0,0.0,0.0,9049.31020352411,0.0,0.0,9049.31020352411,0.0,0.0,Desert,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0
Liberia,2023,25.8666329502231,79.37168498783922,0.43474738954721676,8.671379551148416,73.14663704700511,1.6903583634598827,1.4868408881393331,5.337428100000001,0.39720000000000005,9049.31020352411,9049.31020352411,0.0,0.0,0.0,0.0,0.0,0.0,9049.31020352411,0.0,0.0,9049.31020352411,0.0,0.0,Desert,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0
Libya,2022,22.86830474910394,56.42903449820788,0.01218323476702509,15.631287858422938,62.21932222337862,1.6241849732817784,1.29779981683471,1.4111065611912523,0.3972,188244.56902592845,87.59635599159077,188156.9726699369,0.0,188156.9726699369,0.0,0.0,87.59635599159077,0.0,0.0,0.0,87.59635599159077,0.0,0.0,Desert,0.046533271288971646,99.95346672871105,0.0,99.95346672871105,0.0,0.0,0.046533271288971646,0.0,0.0,0.0,0.046533271288971646,0.0,0.0
Libya,2023,21.197764428804632,55.19132296641789,0.020505647820661617,17.88824750250728,59.00054586371042,1.5951711418290517,1.2677876824755585,1.411106561191252,0.39719999999999994,188244.56902592847,87.59635599159077,188156.9726699369,0.0,188156.9726699369,0.0,0.0,87.59635599159077,0.0,0.0,0.0,87.59635599159077,0.0,0.0,Desert,0.04653327128897164,99.95346672871104,0.0,99.95346672871104,0.0,0.0,0.04653327128897164,0.0,0.0,0.0,0.04653327128897164,0.0,0.0
Libya,2024,21.915951704545456,53.3417055976431,0.01486685606060606,18.292559974747476,59.62641278538107,1.6012210075912598,1.272522339193942,1.411106561191252,0.3972,188244.56902592847,87.59635599159077,188156.9726699369,0.0,188156.9726699369,0.0,0.0,87.59635599159077,0.0,0.0,0.0,87.59635599159077,0.0,0.0,Desert,0.04653327128897164,99.95346672871104,0.0,99.95346672871104,0.0,0.0,0.04653327128897164,0.0,0.0,0.0,0.04653327128897164,0.0,0.0
Madagascar,2022,20.95221370967742,69.87459304062126,0.13693563321385901,10.87656847371565,62.36899981986576,1.6233849479777263,1.3049901257241143,4.816583071355066,0.276,18923.871968481075,16334.28948885625,2589.582479624824,2589.582479624824,0.0,0.0,0.0,796.7946091153303,15537.494877748932,0.0,9.95993261394163e-07,17330.282748258433,9.95993261394163e-07,0.0,Savana,86.31578947512465,13.684210524875352,13.684210524875352,0.0,0.0,0.0,4.210526315346263,82.10526314925205,0.0,5.263157894182828e-09,91.57894735878119,0.0,5.263157894182828e-09
Madagascar,2023,20.643019779932583,76.49123803923452,0.2625140742340843,10.376644265232974,63.53981821021489,1.6316501178562888,1.3220772121433038,4.816583071355066,0.276,18923.871968481075,16334.28948885625,2589.582479624824,2589.582479624824,0.0,0.0,0.0,796.7946091153303,15537.494877748934,0.0,9.95993261394163e-07,17330.282748258433,9.95993261394163e-07,0.0,Savana,86.31578947512465,13.684210524875352,13.684210524875352,0.0,0.0,0.0,4.210526315346263,82.10526314925207,0.0,5.263157894182828e-09,91.57894735878119,0.0,5.263157894182828e-09
Malawi,2022,23.202199746117085,50.43102001194743,0.08832287933094385,10.356207661290322,60.81187753994157,1.61967631147482,1.262627280660074,5.121524184226901,0.23999999999999996,24302.23558000957,24302.23558000957,0.0,0.0,0.0,0.0,0.0,3386.3770887401542,20915.858489277423,0.0,9.95993261394163e-07,25298.22883941174,9.95993261394163e-07,0.0,Savana,99.99999999999999,0.0,0.0,0.0,0.0,0.0,13.934426228366029,86.06557376343723,0.0,4.098360655401773e-09,104.09836064720503,0.0,4.098360655401773e-09
Malawi,2023,19.94174249151946,71.8128961586875,0.19221314164106504,7.613007765830346,61.25445513768718,1.6203782367276818,1.2756175121788524,5.121524184226901,0.24,24302.23558000957,24302.23558000957,0.0,0.0,0.0,0.0,0.0,3386.377088740154,20915.858489277423,0.0,9.95993261394163e-07,25298.22883941174,9.95993261394163e-07,0.0,Savana,99.99999999999999,0.0,0.0,0.0,0.0,0.0,13.934426228366027,86.06557376343723,0.0,4.098360655401773e-09,104.09836064720503,0.0,4.098360655401773e-09
Mali,2022,28.209754853643968,36.606213410991636,0.10812805406212664,13.503886350059737,63.185792713049636,1.6254960113472579,1.3267649484903832,5.304922615165157,0.264,15537.494879052789,15537.494879052789,0.0,0.0,0.0,0.0,0.0,325.9614310017259,15211.533446747218,0.0,6.519228620034524e-07,16189.417739752396,6.519228620034524e-07,0.0,Savana,100.0,0.0,0.0,0.0,0.0,0.0,2.097902097726049,97.90209789388236,0.0,4.195804195452102e-09,104.1958041870605,0.0,4.195804195452102e-09
Mali,2023,30.984933762427463,27.343298637779483,0.07147434435803891,14.127143717197901,63.1902132964126,1.624535700374322,1.3295027943939266,5.304922615165157,0.264,15537.494879052787,15537.494879052787,0.0,0.0,0.0,0.0,0.0,325.9614310017259,15211.533446747218,0.0,6.519228620034523e-07,16189.417739752396,6.519228620034523e-07,0.0,Savana,100.0,0.0,0.0,0.0,0.0,0.0,2.097902097726049,97.90209789388236,0.0,4.195804195452101e-09,104.1958041870605,0.0,4.195804195452101e-09
